@relation 'resume_p2final-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9-weka.filters.unsupervised.attribute.NumericToNominal-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric
@attribute position {1,2,3,4,5}

@data
10001,269,15000,4
2001,13,4001,2
4001,8,4001,3
4001,21,4001,3
6001,15,6000,3
6001,37,6001,3
6001,59,6001,3
10001,49,10001,3
4001,33,4001,3
4001,23,4001,3
4001,55,4001,3
4001,107,4001,3
2001,44,4001,3
2001,39,4001,3
2001,13,2001,3
2001,10,2001,3
6001,8,8001,3
4001,43,4001,3
2001,19,2001,3
4001,45,4001,3
2001,104,2001,3
2001,10,6000,3
8001,52,8001,3
8001,48,8001,3
2001,8,2001,3
4001,62,4001,3
2001,34,2001,3
6001,13,10001,3
8001,16,8001,3
6001,20,8001,3
4001,42,4001,3
4001,89,4001,3
4001,25,6001,3
6001,49,6001,3
4001,42,4001,3
2001,31,2001,3
2001,2,2001,3
4001,64,4001,3
4001,73,4001,3
4001,4,4001,3
4001,27,6001,3
2001,68,4001,3
4001,78,2001,3
8001,46,8001,4
10001,136,10001,4
2001,4,4001,3
4001,6,4001,3
6001,28,10001,3
4001,6,10001,3
2001,8,2001,3
4001,67,4001,3
8001,17,6001,3
6001,12,6001,3
4001,30,2001,3
6001,40,6001,3
4001,40,4001,3
4001,3,4001,3
2001,18,2001,3
8001,51,10000,3
4001,215,6000,3
2001,3,4001,2
4001,42,4001,3
6001,10,6001,3
8001,72,8001,3
2001,2,4001,3
4001,22,4001,3
4001,7,4001,3
2001,4,4001,3
4001,43,4001,3
4001,30,6001,3
2001,44,4001,3
2001,45,2001,3
2001,21,4001,3
4001,41,2001,3
2001,21,2001,3
2001,115,2001,1
4001,41,4001,4
2001,12,2001,3
4001,103,4001,4
2001,24,2001,3
4001,28,4001,3
2001,3,2001,3
8001,141,8001,3
8001,46,10001,3
2001,13,6001,3
6001,11,8001,3
4001,27,4001,3
2001,28,6001,3
4001,40,2001,3
2001,15,2001,3
6001,6,6001,2
4001,93,4001,3
2001,7,2001,3
4001,7,4001,2
4001,7,2001,3
6001,19,4001,3
6001,71,4001,3
6001,29,4001,3
4001,40,8001,3
2001,3,2001,3
10001,198,10001,3
2001,63,4001,3
4001,61,4001,3
2001,16,4001,3
4001,8,4001,3
6001,68,6001,3
4001,13,4001,3
6001,46,6001,3
2001,6,2001,3
2001,14,2001,3
4001,37,4001,3
4001,36,2001,3
2001,1,4001,3
2001,12,4001,3
2001,51,2001,3
2001,1,2001,3
4001,20,2001,3
2001,8,4001,3
6001,14,6001,3
4001,4,8001,3
4001,7,2001,3
6001,23,8001,3
4001,21,8001,3
4001,9,4001,3
10001,45,10001,3
4001,20,4001,3
2001,38,2001,3
8001,62,8001,3
8001,99,8001,3
6001,25,8001,3
2001,29,4001,3
2001,31,2001,3
4001,60,6001,3
2001,12,4001,3
2001,52,6001,3
2001,44,2001,3
6001,44,6001,3
10001,65,15000,3
4001,50,6001,3
10001,38,15000,3
4001,53,4001,3
10001,53,15000,3
8001,69,8001,3
6001,42,8001,3
8001,45,8001,3
4001,24,6001,3
4001,38,4001,3
6001,52,6001,3
4001,8,2001,3
4001,21,4001,3
2001,11,8001,3
4001,28,4001,3
4001,65,4001,3
8001,14,10000,3
4001,11,4001,3
4001,17,4001,3
2001,14,2001,3
2001,31,2001,3
4001,7,4001,3
4001,30,4001,3
4001,23,6001,3
6001,18,8001,3
2001,10,4001,3
2001,27,6001,3
6001,18,6001,3
2001,11,4001,3
4001,16,8001,3
6001,99,8001,3
2001,6,4001,3
2001,7,4001,3
4001,25,6001,3
2001,1,4001,3
4001,12,4001,3
4001,1,4001,3
2001,13,2001,3
2001,5,2001,3
2001,4,2001,3
4001,2,6000,3
4001,39,4001,2
2001,5,2001,3
4000,5,7000,3
2001,88,4001,3
4001,10,4001,3
8001,60,15000,4
4001,10,4001,3
6001,14,8000,3
6001,9,2001,3
4001,9,6001,3
2001,12,2001,3
10001,31,10001,3
2001,2,4001,3
2001,2,2001,3
4001,10,4001,3
4001,131,4001,3
4000,36,4000,3
4001,12,4001,3
4001,8,7000,3
4001,20,6001,3
2001,6,4001,3
2001,12,4500,3
2001,73,2001,3
2001,24,2001,3
2001,24,5000,3
2001,33,4001,3
2001,20,2001,3
2001,30,2001,3
2001,12,2001,2
4001,55,8001,3
4001,27,4001,3
4001,85,6001,3
2001,12,4001,3
2001,5,4001,3
2001,15,2001,3
2001,41,4001,3
4001,69,4001,3
2001,33,4001,3
4001,82,4001,3
4001,13,4001,3
2001,14,2001,3
4001,66,4001,3
6001,87,6001,3
2001,39,2001,3
2001,20,2001,3
6001,18,6001,3
2001,41,2001,3
4001,28,4001,3
4001,22,6001,3
2001,7,2001,3
2001,1,6001,3
2001,8,2001,3
2001,11,4001,3
2001,11,2001,3
2001,29,2001,3
8001,90,10001,3
2001,4,2001,3
2001,1,2001,3
2001,5,4001,3
2001,65,2001,3
4001,38,2001,3
2001,14,2001,3
2001,11,4001,3
2001,38,4001,2
2001,30,2001,3
2001,21,4001,3
2001,68,4001,3
2001,62,4001,3
2001,14,2001,3
4001,47,4001,3
4001,53,4001,3
6001,66,4001,3
4001,54,4001,3
6001,32,4001,3
2001,58,4001,3
2001,41,2001,3
4001,60,6001,3
6001,119,6001,3
2001,12,2001,3
2001,3,4001,3
2001,56,2001,3
2001,20,2001,3
6001,42,6001,3
4001,49,4001,3
4001,43,4001,3
2001,37,2001,3
2001,17,2001,3
2001,60,2001,3
2001,14,2001,3
4001,37,2001,3
